"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",8,8,0,"",-2,-2
"2010-09-27",8,8,0,"",-2,-4
"2010-11-04",18,18,5,"2010-09-30",-2.2,-6.2
"2010-12-07",17,17,0,"",-5.95,-12.15
"2011-01-19",13,13,20,"2011-01-17",14.8,2.65
"2011-02-23",12,12,0,"",-4.2,-1.55
"2011-04-28",23,23,0,"",-9.2,-10.75
"2011-06-14",16,16,20,"2011-04-21",13.6,2.85
"2011-07-15",8,8,0,"",-4,-1.15
"2011-08-19",0,0,0,"",0,-1.15
"2011-09-22",7,7,0,"",-3.5,-4.65
"2011-12-06",18,18,0,"",-9,-13.65
"2012-01-30",6,6,10,"2012-01-06",7,-6.65
"2012-04-13",11,11,0,"",-5.5,-12.15
"2012-06-13",1,1,0,"",-0.5,-12.65
"2012-09-19",2,2,0,"",-1,-13.65
"2012-10-06",0,0,0,"",0,-13.65
"2012-11-28",0,0,0,"0",0,-13.65
"2013-01-28",0,0,0,"",0,-13.65
"2013-02-08",0,0,0,"",0,-13.65
"2013-04-14",0,0,0,"",0,-13.65
